replication,seed,warmup_weeks,elapsed_week,measured_weeks,scheduled_count,completed_count,unscheduled_count,unscheduled_count_total,Z1_wait_time,Z2_overtime,Z3_congestion,H_raw,H_analysis,used_for_analysis
1,123,0,1,4,27,27,11,11,36819.093370333525,1.5197147875174324,1.0,0.7694803581551674,0.7694803581551674,True
1,123,1,2,4,43,43,35,37,62068.53690507686,4.068152095681868,4.0,1.6490911096943837,1.6490911096943837,True
1,123,2,3,4,41,41,13,14,36336.2330029152,2.207297129566556,4.0,1.1173015233848957,1.1173015233848957,True
1,123,3,4,4,32,32,34,37,57757.233515980486,5.74434924171319,4.0,1.7190305809439077,1.7190305809439077,True
1,123,4,5,4,18,18,33,36,98954.90815566771,2.8273501214485806,3.0,1.9987312858418942,1.9987312858418942,True
1,123,5,6,4,23,23,24,32,45622.899120003036,5.217746558501616,4.0,1.4963319139658888,1.4963319139658888,True
1,123,6,7,4,33,33,8,10,15340.651200260507,3.054801154133808,4.0,0.8726675923345812,0.8726675923345812,True
1,123,7,8,4,32,32,4,6,14862.059562101895,3.541168581248591,4.0,0.9044550871264035,0.9044550871264035,True
1,123,8,9,4,33,33,20,24,66899.13285846304,4.106397947946971,3.0,1.6240346462295527,1.6240346462295527,True
1,123,9,10,4,37,37,30,35,111357.68120040426,4.080355889049255,4.0,2.3835368223204325,2.3835368223204325,True
1,123,10,11,4,43,43,29,33,138630.9248933457,3.863168359382932,4.0,2.772013660615898,2.772013660615898,True
1,123,11,12,4,42,42,21,23,80813.53627512415,4.357191583806343,4.0,1.951157711750998,1.951157711750998,True
1,123,12,13,4,32,32,22,29,90129.24108593188,3.842308771925309,4.0,2.0485936464851537,2.0485936464851537,True
1,123,13,14,4,25,25,24,31,52162.03301183067,4.1751677542048125,4.0,1.5102341496791034,1.5102341496791034,True
1,123,14,15,4,24,24,17,23,56295.29888738591,2.0719010910683817,5.0,1.5034797493001417,1.5034797493001417,True
1,123,15,16,4,28,28,13,20,47623.10085594756,2.615006486162626,4.0,1.3178776149636584,1.3178776149636584,True
1,123,16,17,4,21,21,10,18,42419.67281926079,2.0190711967879906,3.0,1.092770826982039,1.092770826982039,True
1,123,17,18,4,16,16,8,15,27577.379084600678,3.6302751142924534,3.0,1.0007996740928111,1.0007996740928111,True
1,123,18,19,4,25,25,16,20,65731.25960159971,2.391542726150995,4.0,1.569467162163504,1.569467162163504,True
1,123,19,20,4,26,26,7,10,37048.86124647462,2.4054899952509006,4.0,1.143761539597373,1.143761539597373,True
1,123,20,21,4,34,34,9,11,29532.013527534848,1.6972748444085786,5.0,1.075246474569574,1.075246474569574,True
1,123,21,22,4,28,28,6,10,25472.431278270466,3.033977961143804,5.0,1.1217722737705291,1.1217722737705291,True
1,123,22,23,4,32,32,7,9,21441.734466888436,2.302189105497382,4.0,0.9032485580065828,0.9032485580065828,True
1,123,23,24,4,36,36,17,20,31302.89266418587,2.1260603887332157,4.0,1.0359016862204709,1.0359016862204709,True
