policy_name,replication,timetable,num_weeks,warmup_weeks,total_sim_weeks,scheduled_count,completed_count,unscheduled_count,unscheduled_count_total,mean_prep_duration,mean_booking_wait,mean_lateness,mean_procedure_duration,Z1_wait_time,Z2_overtime,Z3_congestion,H,total_overtime_min,lunch_overtime_min,after_hours_overtime_min
R1_840a3320_SAA2,1,R1_placeholder,180,20,200,2432,2432,14,14,12420.348278533082,5889.466254889869,54.552137589563245,79.25061693038703,4.661585794112838,4.3272381476478765,3.0,0.746070175971391,46734.17199459707,23901.359406475327,22832.812588121742
R1_840a3320_SAA2,2,R1_placeholder,180,20,200,2551,2551,13,13,11220.741642999705,14997.083414619323,55.29853154658462,79.93517081989198,11.011015502442715,4.857774965802597,4.0,1.0245723294594087,52463.969630668056,25598.047736552166,26865.92189411589
R1_840a3320_SAA2,3,R1_placeholder,180,20,200,2531,2531,19,19,10984.717205601028,12766.117077302026,55.018179731640636,78.31071531067668,9.950192129842689,4.542923901681459,3.0,0.8766523149168601,49063.57813815976,24517.33090372404,24546.247234435723
R1_840a3320_SAA2,4,R1_placeholder,180,20,200,2471,2471,18,18,12475.62142444786,7504.754356537548,56.2993732171654,76.83100282777005,6.302790609063096,4.58182777798311,3.0,0.8016060210042866,49483.740002217586,23982.593646429945,25501.14635578764
R1_840a3320_SAA2,5,R1_placeholder,180,20,200,2360,2360,29,29,11574.465642635942,5793.920658648277,55.35029355879089,78.85939514220499,5.769904291726214,4.445697728057163,3.0,0.779296624495849,48013.53546301735,22267.872199190024,25745.66326382733
R1_840a3320_SAA2,6,R1_placeholder,180,20,200,2578,2578,18,18,11924.263294125401,15080.446983449847,57.07210677857403,79.96243553659572,11.002294580003717,4.943729401288265,4.0,1.031261807388855,53392.277533913264,26395.857692365447,26996.419841547817
R1_840a3320_SAA2,7,R1_placeholder,180,20,200,2488,2488,12,12,10878.30253336024,13561.429308146628,53.98970372650674,78.2800334820939,9.695177962970082,4.535407049257995,3.0,0.8705863774328557,48982.396131986345,24343.238259865,24639.157872121345
R1_840a3320_SAA2,8,R1_placeholder,180,20,200,2428,2428,31,31,11100.557665713635,13343.935083700331,54.35217118427233,79.27569068532782,11.754938485700395,4.445418217688824,3.0,0.9075249963944002,48010.51675103931,23141.751334913046,24868.76541612626
R1_840a3320_SAA2,9,R1_placeholder,180,20,200,2529,2529,9,9,11510.315521084269,9399.303013311794,54.04070778617971,81.00825663501772,6.967970105726047,4.753966608271897,3.0,0.8296309737844528,51342.83936933649,24274.04154620043,27068.79782313606
R1_840a3320_SAA2,10,R1_placeholder,180,20,200,2604,2604,71,71,11349.317719709927,21890.076469211785,53.98605233708244,77.96256076145733,18.25980153323199,4.750991734544134,3.0,1.0713608001899306,51310.710733076645,25607.898391111405,25702.81234196524
