model,time_bin,chi2_stat,df,p_value,note
Poisson-Gamma,8:00-9:00,2.390974870957079,2,0.302556441489761,
Poisson-Gamma,9:00-10:00,1.4592171707101884,3,0.6917144576441265,
Poisson-Gamma,10:00-11:00,3.862989628080296,3,0.27664390497271096,
Poisson-Gamma,11:00-12:00,1.9033355018346654,3,0.5927100960559555,
Poisson-Gamma,12:00-13:00,2.44437973516608,2,0.294584359326575,
Poisson-Gamma,13:00-14:00,2.004757584963008,2,0.3670053723490263,
Poisson-Gamma,14:00-15:00,2.3385203755356714,3,0.5051816171220334,
Poisson-Gamma,15:00-16:00,0.06011817230226675,2,0.9703881953510096,
Poisson-Gamma,16:00-17:00,0.8114091652014016,2,0.6665070361194607,
Poisson-Lognormal,8:00-9:00,1.971147515750289,2,0.3732250246953057,
Poisson-Lognormal,9:00-10:00,1.467580085691314,3,0.6897727858089504,
Poisson-Lognormal,10:00-11:00,3.9512227061892973,3,0.2667795961361472,
Poisson-Lognormal,11:00-12:00,1.4518305048920195,3,0.6934315947938374,
Poisson-Lognormal,12:00-13:00,1.2805820762147748,2,0.5271389841834218,
Poisson-Lognormal,13:00-14:00,1.6044465052730945,3,0.6583820252282362,
Poisson-Lognormal,14:00-15:00,3.8748425748214452,3,0.275299881472288,
Poisson-Lognormal,15:00-16:00,0.587887495907497,3,0.899199569597293,
Poisson-Lognormal,16:00-17:00,0.37511287131595583,2,0.8289823326968302,
