timetable,block_index,weekday,weekday_name,start_hour,label,Q_interventional,Q_angiography,Q_total
R2,0,0,Monday,8,Monday 08:00,0,0,0
R2,1,0,Monday,9,Monday 09:00,0,0,0
R2,2,0,Monday,10,Monday 10:00,0,0,0
R2,3,0,Monday,11,Monday 11:00,0,0,0
R2,4,0,Monday,13,Monday 13:00,0,0,0
R2,5,0,Monday,14,Monday 14:00,0,0,0
R2,6,0,Monday,15,Monday 15:00,0,0,0
R2,7,0,Monday,16,Monday 16:00,0,0,0
R2,8,1,Tuesday,8,Tuesday 08:00,0,0,0
R2,9,1,Tuesday,9,Tuesday 09:00,0,0,0
R2,10,1,Tuesday,10,Tuesday 10:00,0,0,0
R2,11,1,Tuesday,11,Tuesday 11:00,0,2,2
R2,12,1,Tuesday,13,Tuesday 13:00,0,3,3
R2,13,1,Tuesday,14,Tuesday 14:00,0,0,0
R2,14,1,Tuesday,15,Tuesday 15:00,0,0,0
R2,15,1,Tuesday,16,Tuesday 16:00,0,0,0
R2,16,2,Wednesday,8,Wednesday 08:00,0,0,0
R2,17,2,Wednesday,9,Wednesday 09:00,0,0,0
R2,18,2,Wednesday,10,Wednesday 10:00,0,0,0
R2,19,2,Wednesday,11,Wednesday 11:00,0,0,0
R2,20,2,Wednesday,13,Wednesday 13:00,0,0,0
R2,21,2,Wednesday,14,Wednesday 14:00,0,0,0
R2,22,2,Wednesday,15,Wednesday 15:00,0,1,1
R2,23,2,Wednesday,16,Wednesday 16:00,0,0,0
R2,24,3,Thursday,8,Thursday 08:00,0,0,0
R2,25,3,Thursday,9,Thursday 09:00,2,2,4
R2,26,3,Thursday,10,Thursday 10:00,0,0,0
R2,27,3,Thursday,11,Thursday 11:00,0,1,1
R2,28,3,Thursday,13,Thursday 13:00,0,0,0
R2,29,3,Thursday,14,Thursday 14:00,1,0,1
R2,30,3,Thursday,15,Thursday 15:00,0,0,0
R2,31,3,Thursday,16,Thursday 16:00,0,0,0
R2,32,4,Friday,8,Friday 08:00,0,0,0
R2,33,4,Friday,9,Friday 09:00,0,2,2
R2,34,4,Friday,10,Friday 10:00,0,1,1
R2,35,4,Friday,11,Friday 11:00,0,0,0
R2,36,4,Friday,13,Friday 13:00,0,0,0
R2,37,4,Friday,14,Friday 14:00,1,0,1
R2,38,4,Friday,15,Friday 15:00,2,2,4
R2,39,4,Friday,16,Friday 16:00,0,0,0
