subset_rank,system,policy,mean_H_subset
1,1690,R2_cand_1690,1.026271368607292
2,1688,R2_cand_1688,1.0445522793883397
3,1700,R2_cand_1700,1.0447367551593016
4,1204,R2_cand_1204,1.0520089759940994
5,1689,R2_cand_1689,1.0561579363852118
6,1202,R2_cand_1202,1.0568910011416413
7,3148,R2_cand_3148,1.061094724496066
8,5994,R2_cand_5994,1.0618468364079772
9,1772,R2_cand_1772,1.062738318498223
10,1205,R2_cand_1205,1.0630968130606298
11,1132,R2_cand_1132,1.0647245526833844
12,3149,R2_cand_3149,1.0656659848033754
13,3798,R2_cand_3798,1.0711182440262519
14,1123,R2_cand_1123,1.0712259692395771
15,1195,R2_cand_1195,1.0713843825335734
16,1663,R2_cand_1663,1.072037404387018
17,3797,R2_cand_3797,1.0743488512284676
18,1682,R2_cand_1682,1.0763972682305827
19,5337,R2_cand_5337,1.0799126779983668
20,1286,R2_cand_1286,1.0805453278945159
21,3859,R2_cand_3859,1.0810111271656861
22,1681,R2_cand_1681,1.081174620099863
23,3807,R2_cand_3807,1.0815115166657316
24,1679,R2_cand_1679,1.083437163035235
25,1680,R2_cand_1680,1.0840762098263632
26,3868,R2_cand_3868,1.088173817465111
27,3788,R2_cand_3788,1.0906173410105056
28,5346,R2_cand_5346,1.0906382835353123
29,3401,R2_cand_3401,1.0910751959287415
30,1699,R2_cand_1699,1.0915397750713234
31,1196,R2_cand_1196,1.0917256959913224
32,1609,R2_cand_1609,1.0918048243478427
33,1600,R2_cand_1600,1.0934069270056002
34,1187,R2_cand_1187,1.0936895843092147
35,1177,R2_cand_1177,1.0939321893884695
36,961,R2_cand_961,1.0948467350176658
37,3852,R2_cand_3852,1.094884069251899
38,2662,R2_cand_2662,1.0965968582346153
39,1691,R2_cand_1691,1.0973294322368377
40,1277,R2_cand_1277,1.097949056933093
41,3139,R2_cand_3139,1.098623324831848
42,1654,R2_cand_1654,1.1030818307289745
43,3302,R2_cand_3302,1.1031497109100399
44,1701,R2_cand_1701,1.103702088355807
45,3869,R2_cand_3869,1.1037167601840876
46,3158,R2_cand_3158,1.1062716626724485
47,1687,R2_cand_1687,1.106610162965321
48,3365,R2_cand_3365,1.1066547755561542
49,5984,R2_cand_5984,1.1082611216553477
50,1697,R2_cand_1697,1.1085113592045608
51,1781,R2_cand_1781,1.1092412942588423
52,5345,R2_cand_5345,1.1100456682385595
53,3553,R2_cand_3553,1.1108206638346712
54,1773,R2_cand_1773,1.1127478123132999
55,1114,R2_cand_1114,1.1135527684260627
56,5993,R2_cand_5993,1.1146452419928818
57,6065,R2_cand_6065,1.1161776808316144
58,5588,R2_cand_5588,1.117292348558486
59,1665,R2_cand_1665,1.117647377110428
60,3399,R2_cand_3399,1.1176478116623845
61,1169,R2_cand_1169,1.1177422306870564
62,1653,R2_cand_1653,1.1179644474230952
63,2825,R2_cand_2825,1.1181894065461373
64,4859,R2_cand_4859,1.118222745031337
65,1655,R2_cand_1655,1.1188381640507528
66,1696,R2_cand_1696,1.1189378104718566
67,3381,R2_cand_3381,1.1189696775380251
68,5022,R2_cand_5022,1.1195480808793263
69,709,R2_cand_709,1.1197358407555589
70,1194,R2_cand_1194,1.1201238899280217
71,710,R2_cand_710,1.1205302053560078
