kn_rank,system,policy,mean_H_final
1,1700,R2_19475934_SubsetKN,0.0014877168109900028
2,1204,R2_c359cee5_SubsetKN,0.0018859136351134318
3,1202,R2_ee24775c_SubsetKN,0.008430623926400501
4,1205,R2_d0842c31_SubsetKN,0.010244497839468179
5,1772,R2_e09169d5_SubsetKN,0.0184627013382547
6,1689,R2_0f3b61ac_SubsetKN,0.06068930757343616
7,1688,R2_edf24a07_SubsetKN,0.08342867223424186
8,5994,R2_cbe8bf2f_SubsetKN,0.12261071423765008
9,1690,R2_effc06e5_SubsetKN,1.0478675654949048
10,3148,R2_6916206a_SubsetKN,1.0653191790243912
